Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2018-08-15;23:22:05;34.62;46.25;10; ;ML;3.5;WESTERN IRAN;2018-08-15 23:36;707015;
2018-08-15;02:32:26;34.47;46.18;10;f;ML;3.6;WESTERN IRAN;2018-08-15 20:17;706849;
2018-08-13;10:18:47;34.57;46.05;10;f;ML;3.9;WESTERN IRAN;2018-08-13 21:21;706434;
2018-08-11;19:10:49;33.76;45.65;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-08-12 15:36;706085;
2018-08-08;06:22:18;32.93;46.18;11; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-08-08 06:32;705367;
2018-08-05;13:59:23;34.75;45.52;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-08-05 14:17;704842;
2018-08-04;17:02:03;34.27;46.21;10;f;ML;4.2;WESTERN IRAN;2018-08-04 22:17;704646;
2018-08-02;11:45:10;34.50;45.67;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-08-02 11:52;703551;
2018-07-31;01:17:23;34.62;46.25;8; ;ML;3.7;WESTERN IRAN;2018-07-31 01:25;702167;
2018-07-30;08:42:27;33.81;45.73;8; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-07-30 09:18;701741;
2018-07-28;18:00:51;33.53;47.67;10;f;mb;4.3;WESTERN IRAN;2018-07-29 05:57;700932;
2018-07-27;04:00:34;34.55;46.39;10;f;ML;3.6;WESTERN IRAN;2018-07-27 06:36;700064;
2018-07-26;15:51:17;34.18;45.47;10;f;mb;4.0;IRAN-IRAQ BORDER REGION;2018-07-27 06:31;699852;
2018-07-25;01:47:47;34.53;46.41;10;f;mb;4.3;WESTERN IRAN;2018-07-25 06:42;698861;
2018-07-24;19:58:31;34.64;45.84;10;f;mb;4.3;IRAN-IRAQ BORDER REGION;2018-07-25 06:40;698786;
2018-07-24;17:18:30;34.64;46.32;8; ;ML;3.5;WESTERN IRAN;2018-07-24 17:24;698753;
2018-07-24;16:27:51;34.64;46.32;8; ;ML;3.6;WESTERN IRAN;2018-07-24 16:34;698742;
2018-07-24;08:46:13;34.41;46.43;10;f;mb;4.5;WESTERN IRAN;2018-07-24 14:45;698504;
2018-07-24;02:34:39;34.55;46.43;10;f;ML;3.5;WESTERN IRAN;2018-07-24 14:44;698350;
2018-07-23;16:00:37;34.62;46.28;10; ;ML;3.5;WESTERN IRAN;2018-07-23 16:14;698084;
2018-07-23;15:39:27;36.02;53.42;10;f;ML;3.5;NORTHERN IRAN;2018-07-24 06:20;698077;
2018-07-23;01:13:44;34.65;46.26;10; ;ML;3.5;WESTERN IRAN;2018-07-23 01:25;697823;
2018-07-23;00:59:50;34.74;46.39;10;f;mb;4.3;WESTERN IRAN;2018-07-23 06:42;697811;
2018-07-22;19:08:58;34.63;46.40;10;f;ML;3.8;WESTERN IRAN;2018-07-23 06:36;697651;
2018-07-22;16:48:48;34.53;46.41;10;f;mb;4.4;WESTERN IRAN;2018-07-22 19:45;697590;
2018-07-22;16:19:48;34.62;46.31;8; ;ML;3.8;WESTERN IRAN;2018-07-22 16:31;697580;
2018-07-22;12:41:47;34.61;46.23;8; ;ML;3.5;WESTERN IRAN;2018-07-22 12:51;697465;
2018-07-22;10:46:09;34.61;46.26;8; ;ML;3.9;WESTERN IRAN;2018-07-22 10:55;697411;
2018-07-22;10:07:26;34.45;46.13;10;f;Mw;5.8;WESTERN IRAN;2018-07-23 07:52;697394;
2018-07-16;05:53:18;34.62;46.26;7; ;ML;3.5;WESTERN IRAN;2018-07-16 06:00;693925;
2018-07-16;05:33:54;34.64;46.31;10; ;mb;4.3;WESTERN IRAN;2018-07-16 07:16;693909;
2018-07-16;04:30:49;33.80;51.19;8; ;ML;3.6;CENTRAL IRAN;2018-07-16 04:41;693887;
2018-07-15;13:40:16;34.95;45.84;11; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-07-15 13:46;693649;
2018-07-15;07:11:00;34.49;46.21;10;f;ML;4.5;WESTERN IRAN;2018-07-15 13:02;693471;
2018-07-11;11:13:19;33.46;48.33;2; ;ML;3.9;WESTERN IRAN;2018-07-11 13:25;691338;
2018-07-08;16:08:54;35.09;49.70;8; ;ML;3.5;WESTERN IRAN;2018-07-08 16:20;689723;
2018-07-05;17:16:53;34.44;45.64;12; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-07-05 17:28;688081;
2018-07-03;21:46:36;34.47;45.75;10;f;ML;3.7;IRAN-IRAQ BORDER REGION;2018-07-04 07:26;687045;
2018-06-30;06:08:06;34.60;46.18;8; ;ML;3.7;WESTERN IRAN;2018-06-30 06:18;685103;
2018-06-27;00:04:26;34.54;46.32;10;f;mb;3.9;WESTERN IRAN;2018-06-27 06:34;683188;
